season,current_gameweek,player_id,player_code,web_name,full_name,team,team_id,team_code,position,status,news,chance_of_playing_next_round,now_cost,selected_by_percent,total_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,ict_index,form,points_per_game,ep_next,fixture_difficulty_next5,fixture_difficulty_next3,next5_home_count,next3_home_count,opponent_count_next5,opponent_count_next3,prior_minutes,prior_total_points,prior_points_per_90,prior_xgi_per_90,prior_starts_per_90,prior_found,prior_team_strength,prior_team_attack_strength,prior_team_defence_strength,prior_team_found,points_per_90,xgi_per_90,start_rate,blended_points_per_90,blended_xgi_per_90,blended_start_rate,team_attack_prior,team_defence_prior,value_points_per_million,fixture_ease,differential_score,availability_factor,predicted_next_gw,predicted_next3,predicted_next5,baseline_next3,baseline_next5,model_residual,optimizer_value,risk_score,transfer_score
2026-27,2,11,500040,Mosquera,Cristhian Mosquera,Arsenal,1,3,DEF,a,,100,55.0,5.0,12,168,2,0,0,2,0,0.0,0.01,0.01,0.53,2.7,6.0,6.0,6.0,3.0,3.333,2.0,1.0,5,3,986.0,40.0,3.651,0.067,0.82,1,1330.0,1365.0,1295.0,1,6.429,0.005,1.0,4.429,0.05,1.0,1.217,0.983,2.182,3.0,20.0,1.0,2.153,8.289,15.109,18.0,30.0,-14.891,2.747,0.813,16.168
2026-27,2,12,223340,Saka,Bukayo Saka,Arsenal,1,3,MID,a,,100,95.0,10.6,20,157,2,2,0,2,0,1.27,0.12,1.39,0.39,19.5,10.0,10.0,10.0,3.0,3.333,2.0,1.0,5,3,2218.0,157.0,6.371,0.598,1.01,1,1330.0,1365.0,1295.0,1,11.465,0.797,1.0,7.797,0.654,1.0,1.217,0.983,2.105,3.0,14.4,1.0,2.901,12.457,22.821,30.0,50.0,-27.179,2.402,0.826,23.673
2026-27,2,13,204480,Rice,Declan Rice,Arsenal,1,3,MID,a,,100,75.0,14.9,8,151,2,0,0,2,0,0.07,0.18,0.25,0.39,6.7,4.0,4.0,4.0,3.0,3.333,2.0,1.0,5,3,3093.0,184.0,5.354,0.305,1.02,1,1330.0,1365.0,1295.0,1,4.768,0.149,1.0,5.19,0.261,1.0,1.217,0.983,1.067,3.0,10.1,1.0,3.9,11.3,18.814,12.0,20.0,-1.186,2.509,0.832,19.51
2026-27,2,14,232413,Eze,Eberechi Eze,Arsenal,1,3,MID,a,,100,64.0,1.5,2,59,0,0,0,0,0,0.04,0.07,0.11,0.39,0.7,1.0,1.0,1.0,3.0,3.333,2.0,1.0,5,3,1885.0,113.0,5.395,0.374,1.05,1,1330.0,1365.0,1295.0,1,3.051,0.168,0.0,4.739,0.316,0.756,1.217,0.983,0.312,3.0,23.5,1.0,2.465,7.229,12.416,3.0,5.0,7.416,1.94,0.934,13.495
2026-27,2,15,184029,Ødegaard,Martin Ødegaard,Arsenal,1,3,MID,a,,100,66.0,11.3,14,145,2,1,0,2,0,0.29,0.17,0.46,0.39,14.2,7.0,7.0,7.0,3.0,3.333,2.0,1.0,5,3,1363.0,74.0,4.886,0.324,1.05,1,1330.0,1365.0,1295.0,1,8.69,0.286,1.0,5.951,0.313,1.0,1.217,0.983,2.121,3.0,13.7,1.0,2.719,8.629,14.652,21.0,35.0,-20.348,2.22,0.839,15.468
2026-27,2,16,248857,Madueke,Noni Madueke,Arsenal,1,3,MID,a,,100,64.0,0.3,1,22,0,0,0,0,0,0.0,0.04,0.04,0.15,5.3,0.5,1.0,0.5,3.0,3.333,2.0,1.0,5,3,1205.0,72.0,5.378,0.305,1.05,1,1330.0,1365.0,1295.0,1,4.091,0.164,0.0,5.018,0.265,0.756,1.217,0.983,0.156,3.0,24.7,1.0,1.555,4.757,8.025,3.0,5.0,3.025,1.254,0.976,9.11
2026-27,2,17,195384,Merino,Mikel Merino Zazón,Arsenal,1,3,MID,a,,100,59.0,0.5,2,33,0,0,0,0,0,0.14,0.02,0.16,0.15,2.3,1.0,1.0,1.0,3.0,3.333,2.0,1.0,5,3,1024.0,67.0,5.889,0.423,0.88,1,1330.0,1365.0,1295.0,1,5.455,0.436,0.0,5.767,0.427,0.634,1.217,0.983,0.339,3.0,24.5,1.0,2.106,6.332,10.682,3.0,5.0,5.682,1.811,0.979,11.757
2026-27,2,18,444145,Martinelli,Gabriel Martinelli Silva,Arsenal,1,3,MID,a,,100,63.0,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.333,2.0,1.0,5,3,1065.0,57.0,4.817,0.455,0.93,1,1330.0,1365.0,1295.0,1,0.0,0.0,0.0,3.468,0.328,0.67,1.217,0.983,0.0,3.0,24.8,1.0,0.233,0.503,0.84,0.0,0.0,0.84,0.133,0.999,1.909
2026-27,2,19,481655,Zubimendi,Martín Zubimendi Ibáñez,Arsenal,1,3,MID,a,,100,54.0,0.8,2,27,0,0,0,0,0,0.0,0.02,0.02,0.15,1.2,1.0,1.0,1.0,3.0,3.333,2.0,1.0,5,3,2991.0,133.0,4.002,0.154,1.02,1,1330.0,1365.0,1295.0,1,6.667,0.067,0.0,4.748,0.13,0.734,1.217,0.983,0.37,3.0,24.2,1.0,1.107,3.259,5.835,3.0,5.0,0.835,1.081,0.97,6.908
2026-27,2,20,616077,Dowman,Max Dowman,Arsenal,1,3,MID,a,,100,54.0,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.333,2.0,1.0,5,3,152.0,16.0,9.474,0.882,0.59,1,1330.0,1365.0,1295.0,1,0.0,0.0,0.0,6.821,0.635,0.425,1.217,0.983,0.0,3.0,24.9,1.0,0.633,1.653,2.746,0.0,0.0,2.746,0.509,1.224,3.627
2026-27,2,22,499175,Nwaneri,Ethan Nwaneri,Arsenal,1,3,MID,u,Has joined Borussia Dortmund on loan for the rest of the season,0,54.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.333,2.0,1.0,5,3,165.0,8.0,4.364,0.169,0.0,1,1330.0,1365.0,1295.0,1,0.0,0.0,0.0,3.142,0.122,0.0,1.217,0.983,0.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.649,-0.327
2026-27,2,23,438098,Fábio Vieira,Fábio Ferreira Vieira,Arsenal,1,3,MID,u,Has joined Hamburger SV permanently,0,55.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.333,2.0,1.0,5,3,0.0,0.0,0.0,0.0,0.0,0,1330.0,1365.0,1295.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.217,0.983,0.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.649,-0.327
2026-27,2,24,200641,Nelson,Reiss Nelson,Arsenal,1,3,MID,u,has departed the club as a free agent.,0,55.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.333,2.0,1.0,5,3,118.0,13.0,9.915,0.625,0.0,1,1330.0,1365.0,1295.0,1,0.0,0.0,0.0,7.139,0.45,0.0,1.217,0.983,0.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.649,-0.327
2026-27,2,25,224117,Gyökeres,Viktor Gyökeres,Arsenal,1,3,FWD,a,,100,73.0,5.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.333,2.0,1.0,5,3,2217.0,128.0,5.196,0.576,1.05,1,1330.0,1365.0,1295.0,1,0.0,0.0,0.0,3.741,0.415,0.756,1.217,0.983,0.0,3.0,19.8,1.0,0.727,1.747,3.167,0.0,0.0,3.167,0.434,0.999,4.061
