player_id,web_name,team,position,gw,horizon_index,was_home,opponent_team_id,fixture_difficulty,forecast_points
17,Merino,Arsenal,MID,6,4,1,13,2.0,2.237
17,Merino,Arsenal,MID,7,5,0,18,3.0,2.113
18,Martinelli,Arsenal,MID,3,1,1,6,4.0,0.233
18,Martinelli,Arsenal,MID,4,2,0,20,3.0,0.135
18,Martinelli,Arsenal,MID,5,3,0,5,3.0,0.135
18,Martinelli,Arsenal,MID,6,4,1,13,2.0,0.202
18,Martinelli,Arsenal,MID,7,5,0,18,3.0,0.135
19,Zubimendi,Arsenal,MID,3,1,1,6,4.0,1.107
19,Zubimendi,Arsenal,MID,4,2,0,20,3.0,1.076
19,Zubimendi,Arsenal,MID,5,3,0,5,3.0,1.076
19,Zubimendi,Arsenal,MID,6,4,1,13,2.0,1.5
19,Zubimendi,Arsenal,MID,7,5,0,18,3.0,1.076
20,Dowman,Arsenal,MID,3,1,1,6,4.0,0.633
20,Dowman,Arsenal,MID,4,2,0,20,3.0,0.51
20,Dowman,Arsenal,MID,5,3,0,5,3.0,0.51
20,Dowman,Arsenal,MID,6,4,1,13,2.0,0.583
20,Dowman,Arsenal,MID,7,5,0,18,3.0,0.51
22,Nwaneri,Arsenal,MID,3,1,1,6,4.0,0.0
22,Nwaneri,Arsenal,MID,4,2,0,20,3.0,0.0
22,Nwaneri,Arsenal,MID,5,3,0,5,3.0,0.0
22,Nwaneri,Arsenal,MID,6,4,1,13,2.0,0.0
22,Nwaneri,Arsenal,MID,7,5,0,18,3.0,0.0
23,Fábio Vieira,Arsenal,MID,3,1,1,6,4.0,0.0
23,Fábio Vieira,Arsenal,MID,4,2,0,20,3.0,0.0
23,Fábio Vieira,Arsenal,MID,5,3,0,5,3.0,0.0
23,Fábio Vieira,Arsenal,MID,6,4,1,13,2.0,0.0
23,Fábio Vieira,Arsenal,MID,7,5,0,18,3.0,0.0
24,Nelson,Arsenal,MID,3,1,1,6,4.0,0.0
24,Nelson,Arsenal,MID,4,2,0,20,3.0,0.0
